internalId	Name	Mentions
bacteria-5684	lactonifactor	2
bacteria-5035	lactonifactor longoviformis	2
bacteria-10786	lawsonia	2
bacteria-10644	lawsonia intracellularis	2
bacteria-7978	lentzea	2
bacteria-7478	leuconostoc mesenteroides	2
bacteria-9648	limosilactobacillus	2
bacteria-136	limosilactobacillus reuteri	2
bacteria-3922	lotus	2
bacteria-10544	lysinibacillus	2
bacteria-7660	magnetococcus marinus	2
bacteria-9875	marinobacter	2
bacteria-7419	megasphaera micronuciformis	2
bacteria-3386	meiothermus	2
bacteria-3106	methylobacterium radiotolerans	2
bacteria-7733	micrococcaceae	2
bacteria-2452	microcystis	2
bacteria-1977	micromonospora echinospora	2
bacteria-9980	mobiluncus curtisii	2
bacteria-4538	mulberry	2
bacteria-862	muribaculum	2
bacteria-1708	muribaculum intestinale	2
bacteria-6731	mycoplasma ovipneumoniae	2
bacteria-12270	myxococcus	2
bacteria-3984	nannocystis	2
bacteria-11139	nocardia nova	2
bacteria-5643	nocardioides	2
bacteria-11840	ocimum	2
bacteria-9028	oligella	2
bacteria-8398	opuntia	2
bacteria-11871	oxalobacteraceae	2
bacteria-12632	paludibacter	2
bacteria-7534	paludibaculum	2
