Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Magnetospirillum fulvum	LISTA 1			phaseolus	Lista 2	No esta en lista					
Magnetospirillum gryphiswaldense	LISTA 1			phaseolus vulgaris	Lista 2	No esta en lista					
Magnetospirillum magneticum	LISTA 1			phoenix	Lista 2	No esta en lista					
Magnetospirillum magnetotacticum	LISTA 1			phormidium	Lista 2	No esta en lista					
Magnetospirillum molischianum	LISTA 1			photobacterium	Lista 2	No esta en lista					
Maguari orthobunyavirus	LISTA 1			photobacterium leiognathi	Lista 2	No esta en lista					
Mahogany Hammock orthobunyavirus	LISTA 1			photobacterium profundum	Lista 2	No esta en lista					
Main Drain orthobunyavirus	LISTA 1			photorhabdus	Lista 2	No esta en lista					
Malvastrum leaf curl virus	LISTA 1			phyllanthus	Lista 2	No esta en lista					
Malvastrum yellow mosaic Jamaica virus	LISTA 1			phyllobacterium	Lista 2	No esta en lista					
Malvastrum yellow vein Lahore virus	LISTA 1			physalis	Lista 2	No esta en lista					
Malvastrum yellow vein Yunnan virus	LISTA 1			pigeon	Lista 2	No esta en lista					
Malvastrum yellow vein virus	LISTA 1			pilimelia	Lista 2	No esta en lista					
Manzanilla orthobunyavirus	LISTA 1			pirellula	Lista 2	No esta en lista					
Mapputta orthobunyavirus	LISTA 1			planctomyces	Lista 2	No esta en lista					
Maprik orthobunyavirus	LISTA 1			planctomycetes	Lista 2	No esta en lista					
Marburg marburgvirus	LISTA 1			planococcaceae	Lista 2	No esta en lista					
Marinitoga hydrogenitolerans	LISTA 1			planococcus	Lista 2	No esta en lista					
Marinitoga piezophila	LISTA 1			planococcus maritimus	Lista 2	No esta en lista					
Marituba orthobunyavirus	LISTA 1			plesiomonas	Lista 2	No esta en lista					
Marivirga tractuosa	LISTA 1			plesiomonas shigelloides	Lista 2	No esta en lista					
Mastigocladopsis repens	LISTA 1			polaribacter	Lista 2	No esta en lista					
Mastigocoleus testarum	LISTA 1			polyangium	Lista 2	No esta en lista					
Matruh orthobunyavirus	LISTA 1			polygonum	Lista 2	No esta en lista					
Megamonas funiformis	LISTA 1			polymorphum	Lista 2	No esta en lista					
Megamonas hypermegale	LISTA 1			pontibacter	Lista 2	No esta en lista					
Megamonas rupellensis	LISTA 1			populus	Lista 2	No esta en lista					
Megasphaera cerevisiae	LISTA 1			porphyrobacter	Lista 2	No esta en lista					
Megasphaera elsdenii	LISTA 1			porphyromonadaceae	Lista 2	No esta en lista					
Megasphaera genomosp. type_1	LISTA 1			porphyromonas	Lista 2	No esta en lista					
Megasphaera genomosp. type_2	LISTA 1			porphyromonas asaccharolytica	Lista 2	LISTA 1					
Megasphaera micronuciformis	LISTA 1			porphyromonas catoniae	Lista 2	LISTA 1					
Megasphaera paucivorans	LISTA 1			porphyromonas gingivalis	Lista 2	LISTA 1					
Megrivirus A	LISTA 1			porphyromonas pasteri	Lista 2	No esta en lista					
Megrivirus B	LISTA 1			porphyromonas uenonis	Lista 2	LISTA 1					
Megrivirus D	LISTA 1			prauserella	Lista 2	No esta en lista					
Megrivirus E	LISTA 1			prevotella	Lista 2	No esta en lista					
Melao orthobunyavirus	LISTA 1			prevotella bivia	Lista 2	LISTA 1					
Melegrivirus A	LISTA 1			prevotella buccae	Lista 2	LISTA 1					
Melon chlorotic leaf curl virus	LISTA 1			prevotella buccalis	Lista 2	LISTA 1					
Mermet orthobunyavirus	LISTA 1			prevotella copri	Lista 2	LISTA 1					
Mesoaciditoga lauensis	LISTA 1			prevotella denticola	Lista 2	LISTA 1					
Mesotoga prima	LISTA 1			prevotella enoeca	Lista 2	LISTA 1					
Mesta yellow vein mosaic Bahraich virus	LISTA 1			prevotella histicola	Lista 2	LISTA 1					
Mesta yellow vein mosaic virus	LISTA 1			prevotella intermedia	Lista 2	LISTA 1					
Methanolinea tarda	LISTA 1			prevotella melaninogenica	Lista 2	LISTA 1					
Methanoregula boonei	LISTA 1			prevotella multisaccharivorax	Lista 2	LISTA 1					
Methanoregula formicica	LISTA 1			prevotella nanceiensis	Lista 2	LISTA 1					
Methylobacterium komagatae	LISTA 1			prevotella nigrescens	Lista 2	LISTA 1					
Methylobacterium mesophilicum	LISTA 1			prevotella oris	Lista 2	LISTA 1					
Methylobacterium nodulans	LISTA 1			prevotella salivae	Lista 2	LISTA 1					
Methylobacterium oryzae	LISTA 1			prevotella veroralis	Lista 2	LISTA 1					
Methylobacterium phyllosphaerae	LISTA 1			prevotellaceae	Lista 2	No esta en lista					
Methylobacterium platani	LISTA 1			propionibacteriaceae	Lista 2	No esta en lista					
Methylobacterium radiotolerans	LISTA 1			propionibacterium	Lista 2	No esta en lista					
Methylophaga aminisulfidivorans	LISTA 1			propionibacterium acidifaciens	Lista 2	No esta en lista					
Methylophaga lonarensis	LISTA 1			propionibacterium freudenreichii	Lista 2	No esta en lista					
Methylophaga marina	LISTA 1			propionimicrobium	Lista 2	No esta en lista					
Methylophaga thiooxydans	LISTA 1			propionimicrobium lymphophilum	Lista 2	No esta en lista					
Methylorubrum extorquens	LISTA 1			proteobacteria	Lista 2	No esta en lista					
Methylorubrum populi	LISTA 1			proteus	Lista 2	No esta en lista					
Methylorubrum rhodinum	LISTA 1			proteus mirabilis	Lista 2	No esta en lista					
Methylorubrum thiocyanatum	LISTA 1			proteus penneri	Lista 2	No esta en lista					
Microbispora rosea	LISTA 1			proteus vulgaris	Lista 2	No esta en lista					
Microscilla marina	LISTA 1			providencia	Lista 2	No esta en lista					
Microvirga flocculans	LISTA 1			providencia rettgeri	Lista 2	No esta en lista					
Microvirga zambiensis	LISTA 1			providencia stuartii	Lista 2	No esta en lista					
Microvirgula aerodenitrificans	LISTA 1			prunus	Lista 2	No esta en lista					
Minatitlan orthobunyavirus	LISTA 1			pseudarthrobacter	Lista 2	No esta en lista					
Mogibacterium timidum	LISTA 1			pseudoalteromonas	Lista 2	No esta en lista					
Mogibacterium vescum	LISTA 1			pseudoalteromonas haloplanktis	Lista 2	No esta en lista					
Moju orthobunyavirus	LISTA 1			pseudoalteromonas piscicida	Lista 2	No esta en lista					
Moloney murine sarcoma virus	LISTA 1			pseudobacter	Lista 2	No esta en lista					
Morganella morganii	LISTA 1			pseudobacter ginsenosidimutans	Lista 2	No esta en lista					
Morganella psychrotolerans	LISTA 1			pseudobutyrivibrio	Lista 2	No esta en lista					
Mucilaginibacter paludis	LISTA 1			pseudoflavitalea	Lista 2	No esta en lista					
Mungbean yellow mosaic India virus	LISTA 1			pseudoflavonifractor	Lista 2	No esta en lista					
Mungbean yellow mosaic virus	LISTA 1			pseudomonadaceae	Lista 2	No esta en lista					
Murid betaherpesvirus 1	LISTA 1			pseudomonadales	Lista 2	No esta en lista					
Murid betaherpesvirus 2	LISTA 1			pseudomonas	Lista 2	No esta en lista					
Murid betaherpesvirus 8	LISTA 1			pseudomonas aeruginosa	Lista 2	No esta en lista					
Murine leukemia virus	LISTA 1			pseudomonas boreopolis	Lista 2	No esta en lista					
Murine leukemia-related retroviruses	LISTA 1			pseudomonas brassicacearum	Lista 2	No esta en lista					
Mycobacterium arosiense	LISTA 1			pseudomonas entomophila	Lista 2	No esta en lista					
Mycobacterium asiaticum	LISTA 1			pseudomonas fluorescens	Lista 2	No esta en lista					
Mycobacterium avium	LISTA 1			pseudomonas granadensis	Lista 2	No esta en lista					
Mycobacterium bohemicum	LISTA 1			pseudomonas luteola	Lista 2	No esta en lista					
Mycobacterium canettii	LISTA 1			pseudomonas mendocina	Lista 2	No esta en lista					
Mycobacterium colombiense	LISTA 1			pseudomonas oryzihabitans	Lista 2	No esta en lista					
Mycobacterium gastri	LISTA 1			pseudomonas otitidis	Lista 2	No esta en lista					
Mycobacterium genavense	LISTA 1			pseudomonas panacis	Lista 2	No esta en lista					
Mycobacterium haemophilum	LISTA 1			pseudomonas parafulva	Lista 2	No esta en lista					
Mycobacterium intracellulare	LISTA 1			pseudomonas plecoglossicida	Lista 2	No esta en lista					
Mycobacterium kansasii	LISTA 1			pseudomonas putida	Lista 2	No esta en lista					
Mycobacterium leprae	LISTA 1			pseudomonas resinovorans	Lista 2	No esta en lista					
Mycobacterium liflandii	LISTA 1			pseudomonas savastanoi	Lista 2	No esta en lista					
Mycobacterium marinum	LISTA 1			pseudomonas stutzeri	Lista 2	No esta en lista					
Mycobacterium orygis	LISTA 1			pseudomonas syringae	Lista 2	No esta en lista					
Mycobacterium parascrofulaceum	LISTA 1			pseudonocardia	Lista 2	No esta en lista					
Mycobacterium pseudoshottsii	LISTA 1			pseudoramibacter	Lista 2	No esta en lista					
Mycobacterium simiae	LISTA 1			pseudovibrio	Lista 2	No esta en lista					
Mycobacterium tuberculosis	LISTA 1			psychrobacillus	Lista 2	No esta en lista					
Mycobacterium ulcerans	LISTA 1			psychrobacter	Lista 2	No esta en lista					
Mycobacterium virus Apizium	LISTA 1			psychromonas	Lista 2	No esta en lista					
Mycobacterium virus Bignuz	LISTA 1			pyramidobacter	Lista 2	No esta en lista					
Mycobacterium virus Manad	LISTA 1			quercus	Lista 2	No esta en lista					
Mycobacterium virus Oline	LISTA 1			rahnella	Lista 2	No esta en lista					
Mycobacterium virus Osmaximus	LISTA 1			rahnella aquatilis	Lista 2	No esta en lista					
Mycobacterium virus Pg1	LISTA 1			ralstonia	Lista 2	No esta en lista					
Mycobacterium virus Soto	LISTA 1			ralstonia eutropha	Lista 2	No esta en lista					
Mycobacterium virus Suffolk	LISTA 1			ralstonia mannitolilytica	Lista 2	No esta en lista					
Mycobacterium virus Thibault	LISTA 1			ralstonia pickettii	Lista 2	No esta en lista					
Mycobacterium xenopi	LISTA 1			ralstonia solanacearum	Lista 2	No esta en lista					
Neisseria bacilliformis	LISTA 1			raoultella	Lista 2	No esta en lista					
Neisseria cinerea	LISTA 1			raoultella ornithinolytica	Lista 2	No esta en lista					
Neisseria elongata	LISTA 1			raoultella planticola	Lista 2	No esta en lista					
Neisseria flavescens	LISTA 1			rheinheimera	Lista 2	No esta en lista					
Neisseria gonorrhoeae	LISTA 1			rhizobium	Lista 2	No esta en lista					
Neisseria lactamica	LISTA 1			rhodobacter	Lista 2	No esta en lista					
Neisseria macacae	LISTA 1			rhodobacter sphaeroides	Lista 2	No esta en lista					
Neisseria meningitidis	LISTA 1			rhodobacteraceae	Lista 2	No esta en lista					
Neisseria mucosa	LISTA 1			rhodococcus	Lista 2	No esta en lista					
Neisseria pharyngis	LISTA 1			rhodococcus equi	Lista 2	No esta en lista					
Neisseria polysaccharea	LISTA 1			rhodopseudomonas	Lista 2	No esta en lista					
Neisseria shayeganii	LISTA 1			rhodospirillum	Lista 2	No esta en lista					
Neisseria sicca	LISTA 1			rhodospirillum rubrum	Lista 2	No esta en lista					
Neisseria sp. oral taxon 014	LISTA 1			rickettsia	Lista 2	No esta en lista					
Neisseria sp. oral taxon 020	LISTA 1			rickettsia felis	Lista 2	No esta en lista					
Neisseria subflava	LISTA 1			rickettsia helvetica	Lista 2	No esta en lista					
Neisseria wadsworthii	LISTA 1			rickettsia rickettsii	Lista 2	No esta en lista					
Neisseria weaveri	LISTA 1			rikenellaceae	Lista 2	No esta en lista					
Neodiprion lecontei nucleopolyhedrovirus	LISTA 1			robinsoniella	Lista 2	No esta en lista					
Nonomuraea coxensis	LISTA 1			robinsoniella peoriensis	Lista 2	No esta en lista					
Nonomuraea roseoviolacea	LISTA 1			romboutsia	Lista 2	No esta en lista					
Novosphingobium acidiphilum	LISTA 1			roseburia	Lista 2	No esta en lista					
Novosphingobium aromaticivorans	LISTA 1			roseburia faecis	Lista 2	No esta en lista					
Novosphingobium barchaimii	LISTA 1			roseburia inulinivorans	Lista 2	No esta en lista					
Novosphingobium capsulatum	LISTA 1			roseobacter	Lista 2	No esta en lista					
Novosphingobium lentum	LISTA 1			roseomonas	Lista 2	No esta en lista					
Novosphingobium lindaniclasticum	LISTA 1			roseomonas genomospecies	Lista 2	No esta en lista					
Novosphingobium naphthalenivorans	LISTA 1			roseomonas gilardii	Lista 2	No esta en lista					
Novosphingobium nitrogenifigens	LISTA 1			roseomonas mucosa	Lista 2	No esta en lista					
Novosphingobium pentaromativorans	LISTA 1			rothia	Lista 2	No esta en lista					
Novosphingobium rosa	LISTA 1			rothia aeria	Lista 2	LISTA 1					
Novosphingobium subterraneum	LISTA 1			rothia dentocariosa	Lista 2	LISTA 1					
Nyando orthobunyavirus	LISTA 1			rothia mucilaginosa	Lista 2	LISTA 1					
Odontoglossum ringspot virus	LISTA 1			rouxiella	Lista 2	No esta en lista					
Okra enation leaf curl virus	LISTA 1			rouxiella badensis	Lista 2	No esta en lista					
Okra leaf curl India virus	LISTA 1			rubrobacter	Lista 2	No esta en lista					
Okra leaf curl virus	LISTA 1			ruegeria	Lista 2	No esta en lista					
Okra mottle virus	LISTA 1			ruminiclostridium	Lista 2	No esta en lista					
Okra yellow crinkle virus	LISTA 1			ruminococcaceae	Lista 2	No esta en lista					
Okra yellow mosaic Mexico virus	LISTA 1			ruminococcaceae bacterium	Lista 2	No esta en lista					
Oligella ureolytica	LISTA 1			ruminococcus	Lista 2	No esta en lista					
Oligella urethralis	LISTA 1			ruminococcus albus	Lista 2	LISTA 1					
Omegapapillomavirus 1	LISTA 1			ruminococcus bromii	Lista 2	LISTA 1					
Oriboca orthobunyavirus	LISTA 1			ruminococcus callidus	Lista 2	LISTA 1					
Orientia chuto	LISTA 1			ruminococcus gnavus	Lista 2	No esta en lista					
Orientia tsutsugamushi	LISTA 1			ruminococcus torques	Lista 2	No esta en lista					
Oropouche orthobunyavirus	LISTA 1			ruthenibacterium	Lista 2	No esta en lista					
Oyo orthobunyavirus	LISTA 1			ruthenibacterium lactatiformans	Lista 2	No esta en lista					
Paeniglutamicibacter gangotriensis	LISTA 1			saccharopolyspora	Lista 2	No esta en lista					
Papaya leaf crumple virus	LISTA 1			saccharothrix	Lista 2	No esta en lista					
Papaya leaf curl China virus	LISTA 1			saccharothrix mutabilis	Lista 2	No esta en lista					
Papaya leaf curl Guandong virus	LISTA 1			salinibacter	Lista 2	No esta en lista					
Papaya leaf curl virus	LISTA 1			salinibacter ruber	Lista 2	No esta en lista					
Papiine betaherpesvirus 3	LISTA 1			salmonella	Lista 2	No esta en lista					
Paraglaciecola agarilytica	LISTA 1			salmonella enterica	Lista 2	No esta en lista					
Paraglaciecola arctica	LISTA 1			salmonella enteritidis	Lista 2	No esta en lista					
Paraglaciecola chathamensis	LISTA 1			salmonella paratyphi	Lista 2	No esta en lista					
Paraglaciecola mesophila	LISTA 1			salmonella typhi	Lista 2	No esta en lista					
Paraglaciecola polaris	LISTA 1			salmonella typhimurium	Lista 2	No esta en lista					
Paraglaciecola psychrophila	LISTA 1			saprospiraceae	Lista 2	No esta en lista					
Parvimonas micra	LISTA 1			sarcina	Lista 2	No esta en lista					
Parvimonas sp. oral taxon 110	LISTA 1			scardovia	Lista 2	No esta en lista					
Parvimonas sp. oral taxon 393	LISTA 1			schaalia	Lista 2	No esta en lista					
Passion fruit mosaic virus	LISTA 1			schaalia meyeri	Lista 2	No esta en lista					
Pasteurella bettyae	LISTA 1			schlegelella	Lista 2	No esta en lista					
Pasteurella dagmatis	LISTA 1			sedimentibacter	Lista 2	No esta en lista					
Pasteurella langaaensis	LISTA 1			sedimentibacter saalensis	Lista 2	No esta en lista					
Pasteurella multocida	LISTA 1			sediminibacterium	Lista 2	No esta en lista					
Pasteurella skyensis	LISTA 1			selenomonas	Lista 2	No esta en lista					
Pasteurella testudinis	LISTA 1			selenomonas artemidis	Lista 2	LISTA 1					
Patois orthobunyavirus	LISTA 1			selenomonas bovis	Lista 2	LISTA 1					
Peaton orthobunyavirus	LISTA 1			selenomonas infelix	Lista 2	LISTA 1					
Pedilanthus leaf curl virus	LISTA 1			selenomonas noxia	Lista 2	LISTA 1					
Pegivirus A	LISTA 1			selenomonas sputigena	Lista 2	LISTA 1					
Pegivirus B	LISTA 1			sequence has	Lista 2	No esta en lista					
Pegivirus C	LISTA 1			serratia	Lista 2	No esta en lista					
Pegivirus D	LISTA 1			serratia ficaria	Lista 2	No esta en lista					
Pegivirus E	LISTA 1			serratia fonticola	Lista 2	No esta en lista					
Pegivirus F	LISTA 1			serratia liquefaciens	Lista 2	No esta en lista					
Pegivirus G	LISTA 1			serratia marcescens	Lista 2	No esta en lista					
Pegivirus H	LISTA 1			serratia odorifera	Lista 2	No esta en lista					
Pegivirus I	LISTA 1			serratia plymuthica	Lista 2	No esta en lista					
Pegivirus J	LISTA 1			serratia rubidaea	Lista 2	No esta en lista					
Pegivirus K	LISTA 1			sesame	Lista 2	No esta en lista					
Pelagibacterium halotolerans	LISTA 1			setaria	Lista 2	No esta en lista					
Pepper golden mosaic virus	LISTA 1			shewanella	Lista 2	No esta en lista					
Pepper huasteco yellow vein virus	LISTA 1			shewanella algae	Lista 2	No esta en lista					
Pepper leaf curl Bangladesh virus	LISTA 1			shewanella putrefaciens	Lista 2	No esta en lista					
Pepper leaf curl Bangladesh virus-India	LISTA 1			shigella	Lista 2	No esta en lista					
Pepper leaf curl Lahore virus	LISTA 1			shigella dysenteriae	Lista 2	LISTA 1					
Pepper leaf curl Yunnan virus	LISTA 1			shigella flexneri	Lista 2	LISTA 1					
Pepper leaf curl virus	LISTA 1			shigella sonnei	Lista 2	LISTA 1					
Pepper mild mottle virus	LISTA 1			shuttleworthia	Lista 2	No esta en lista					
Pepper yellow leaf curl Indonesia virus	LISTA 1			shuttleworthia satelles	Lista 2	No esta en lista					
Pepper yellow leaf curl Indonesia virus 2	LISTA 1			sinobacteraceae	Lista 2	No esta en lista					
Peptostreptococcus anaerobius	LISTA 1			siphonobacter	Lista 2	No esta en lista					
Peptostreptococcus stomatis	LISTA 1			slackia	Lista 2	No esta en lista					
Petrotoga halophila	LISTA 1			slackia exigua	Lista 2	No esta en lista					
Petrotoga mexicana	LISTA 1			sneathia	Lista 2	No esta en lista					
Petrotoga miotherma	LISTA 1			solanum	Lista 2	No esta en lista					
Petrotoga mobilis	LISTA 1			solibacillus	Lista 2	No esta en lista					
Petrotoga olearia	LISTA 1			solobacterium	Lista 2	No esta en lista					
Petrotoga sibirica	LISTA 1			solobacterium moorei	Lista 2	No esta en lista					
Phycicoccus elongatus	LISTA 1			sorangium	Lista 2	No esta en lista					
Piliocolobus badius cytomegalovirus 1	LISTA 1			sorangium cellulosum	Lista 2	LISTA 1					
Planomonospora parontospora	LISTA 1			soybean	Lista 2	No esta en lista					
Porcine type-C oncovirus	LISTA 1			sphaerochaeta	Lista 2	No esta en lista					
Porphyromonas asaccharolytica	LISTA 1			sphaerotilus	Lista 2	No esta en lista					
Porphyromonas bennonis	LISTA 1			sphaerotilus natans	Lista 2	No esta en lista					
Porphyromonas cangingivalis	LISTA 1			sphingobacteriales	Lista 2	No esta en lista					
Porphyromonas catoniae	LISTA 1			sphingobacterium	Lista 2	No esta en lista					
Porphyromonas crevioricanis	LISTA 1			sphingobacterium spiritivorum	Lista 2	LISTA 1					
Porphyromonas endodontalis	LISTA 1			sphingobium	Lista 2	No esta en lista					
Porphyromonas gingivalis	LISTA 1			sphingobium yanoikuyae	Lista 2	LISTA 1					
Porphyromonas gingivicanis	LISTA 1			sphingomonadaceae	Lista 2	No esta en lista					
Porphyromonas gulae	LISTA 1			sphingomonadales	Lista 2	No esta en lista					
Porphyromonas levii	LISTA 1			sphingomonas	Lista 2	No esta en lista					
Porphyromonas macacae	LISTA 1			sphingomonas paucimobilis	Lista 2	LISTA 1					
Porphyromonas somerae	LISTA 1			spirochaetaceae	Lista 2	No esta en lista					
Porphyromonas sp. oral taxon 278	LISTA 1			spirochaetes	Lista 2	No esta en lista					
Porphyromonas sp. oral taxon 279	LISTA 1			spirochaetia	Lista 2	No esta en lista					
Porphyromonas uenonis	LISTA 1			spiroplasma	Lista 2	No esta en lista					
Potato yellow mosaic Trinidad virus	LISTA 1			spirulina	Lista 2	No esta en lista					
Potato yellow mosaic virus	LISTA 1			sporolactobacillus	Lista 2	No esta en lista					
Potosi orthobunyavirus	LISTA 1			sporomusa	Lista 2	No esta en lista					
Pragia fontium	LISTA 1			sporosarcina	Lista 2	No esta en lista					
Prevotella albensis	LISTA 1			sporosarcina pasteurii	Lista 2	No esta en lista					
Prevotella amnii	LISTA 1			sporosarcina ureae	Lista 2	No esta en lista					
Prevotella aurantiaca	LISTA 1			staphylococcus	Lista 2	No esta en lista					
Prevotella baroniae	LISTA 1			staphylococcus aureus	Lista 2	No esta en lista					
Prevotella bergensis	LISTA 1			staphylococcus capitis	Lista 2	No esta en lista					
Prevotella bivia	LISTA 1			staphylococcus cohnii	Lista 2	No esta en lista					
Prevotella brevis	LISTA 1			staphylococcus epidermidis	Lista 2	No esta en lista					
Prevotella bryantii	LISTA 1			staphylococcus haemolyticus	Lista 2	No esta en lista					
Prevotella buccae	LISTA 1			staphylococcus hominis	Lista 2	No esta en lista					
Prevotella buccalis	LISTA 1			staphylococcus kloosii	Lista 2	No esta en lista					
Prevotella conceptionensis	LISTA 1			staphylococcus lentus	Lista 2	No esta en lista					
Prevotella copri	LISTA 1			staphylococcus lugdunensis	Lista 2	No esta en lista					
Prevotella corporis	LISTA 1			staphylococcus pasteuri	Lista 2	No esta en lista					
Prevotella dentalis	LISTA 1			staphylococcus pseudintermedius	Lista 2	No esta en lista					
Prevotella dentasini	LISTA 1			staphylococcus saprophyticus	Lista 2	No esta en lista					
Prevotella denticola	LISTA 1			staphylococcus schleiferi	Lista 2	No esta en lista					
Prevotella disiens	LISTA 1			staphylococcus sciuri	Lista 2	No esta en lista					
Prevotella enoeca	LISTA 1			staphylococcus warneri	Lista 2	No esta en lista					
Prevotella falsenii	LISTA 1			staphylococcus xylosus	Lista 2	No esta en lista					
Prevotella fusca	LISTA 1			stenotrophomonas	Lista 2	No esta en lista					
Prevotella histicola	LISTA 1			stenotrophomonas maltophilia	Lista 2	No esta en lista					
Prevotella intermedia	LISTA 1			stenotrophomonas rhizophila	Lista 2	No esta en lista					
Prevotella loescheii	LISTA 1			strawberry	Lista 2	No esta en lista					
Prevotella maculosa	LISTA 1			streptacidiphilus	Lista 2	No esta en lista					
Prevotella marshii	LISTA 1			streptobacillus	Lista 2	No esta en lista					
Prevotella melaninogenica	LISTA 1			streptobacillus moniliformis	Lista 2	No esta en lista					
Prevotella micans	LISTA 1			streptococcus	Lista 2	No esta en lista					
Prevotella multiformis	LISTA 1			streptococcus acidominimus	Lista 2	No esta en lista					
Prevotella multisaccharivorax	LISTA 1			streptococcus agalactiae	Lista 2	No esta en lista					
Prevotella nanceiensis	LISTA 1			streptococcus alactolyticus	Lista 2	No esta en lista					
Prevotella nigrescens	LISTA 1			streptococcus anginosus	Lista 2	No esta en lista					
Prevotella oralis	LISTA 1			streptococcus australis	Lista 2	No esta en lista					
Prevotella oris	LISTA 1			streptococcus chosunense	Lista 2	No esta en lista					
Prevotella oryzae	LISTA 1			streptococcus constellatus	Lista 2	No esta en lista					
Prevotella oulorum	LISTA 1			streptococcus danieliae	Lista 2	No esta en lista					
Prevotella pallens	LISTA 1			streptococcus equinus	Lista 2	No esta en lista					
Prevotella paludivivens	LISTA 1			streptococcus gallolyticus	Lista 2	No esta en lista					
Prevotella pleuritidis	LISTA 1			streptococcus gordonii	Lista 2	No esta en lista					
Prevotella ruminicola	LISTA 1			streptococcus infantarius	Lista 2	No esta en lista					
Prevotella saccharolytica	LISTA 1			streptococcus intermedius	Lista 2	No esta en lista					
Prevotella salivae	LISTA 1			streptococcus lutetiensis	Lista 2	No esta en lista					
Prevotella scopos	LISTA 1			streptococcus mitis	Lista 2	No esta en lista					
Prevotella shahii	LISTA 1			streptococcus mutans	Lista 2	No esta en lista					
Prevotella sp. oral taxon 299	LISTA 1			streptococcus oralis	Lista 2	No esta en lista					
Prevotella sp. oral taxon 306	LISTA 1			streptococcus parasanguinis	Lista 2	No esta en lista					
Prevotella sp. oral taxon 313	LISTA 1			streptococcus pasteurianus	Lista 2	No esta en lista					
Prevotella sp. oral taxon 317	LISTA 1			streptococcus pneumoniae	Lista 2	No esta en lista					
Prevotella sp. oral taxon 376	LISTA 1			streptococcus pseudopneumoniae	Lista 2	No esta en lista					
Prevotella sp. oral taxon 472	LISTA 1			streptococcus pyogenes	Lista 2	No esta en lista					
Prevotella sp. oral taxon 475	LISTA 1			streptococcus salivarius	Lista 2	No esta en lista					
Prevotella stercorea	LISTA 1			streptococcus sanguinis	Lista 2	No esta en lista					
Prevotella timonensis	LISTA 1			streptococcus sobrinus	Lista 2	No esta en lista					
Prevotella veroralis	LISTA 1			streptococcus suis	Lista 2	No esta en lista					
Pseudodonghicola xiamenensis	LISTA 1			streptococcus thermophilus	Lista 2	No esta en lista					
Pseudoduganella violaceinigra	LISTA 1			streptococcus uberis	Lista 2	No esta en lista					
Pseudoglutamicibacter albus	LISTA 1			streptococcus vestibularis	Lista 2	No esta en lista					
Pseudoglutamicibacter cumminsii	LISTA 1			streptococcus viridans	Lista 2	No esta en lista					
Pseudogulbenkiania ferrooxidans	LISTA 1			streptomyces	Lista 2	No esta en lista					
Pseudogulbenkiania subflava	LISTA 1			streptomyces aegyptia	Lista 2	No esta en lista					
Pseudothermotoga elfii	LISTA 1			streptomyces albulus	Lista 2	LISTA 1					
Pseudothermotoga hypogea	LISTA 1			streptomyces albus	Lista 2	LISTA 1					
Pseudothermotoga lettingae	LISTA 1			streptomyces atrovirens	Lista 2	No esta en lista					
Pseudothermotoga subterranea	LISTA 1			streptomyces aureofaciens	Lista 2	No esta en lista					
Pseudothermotoga thermarum	LISTA 1			streptomyces avermitilis	Lista 2	LISTA 1					
Pseudoxanthomonas kalamensis	LISTA 1			streptomyces californicus	Lista 2	No esta en lista					
Pseudoxanthomonas spadix	LISTA 1			streptomyces chartreusis	Lista 2	LISTA 1					
Pseudoxanthomonas suwonensis	LISTA 1			streptomyces clavuligerus	Lista 2	No esta en lista					
Pseudoxanthomonas taiwanensis	LISTA 1			streptomyces coelicolor	Lista 2	LISTA 1					
Pumpkin yellow mosaic virus	LISTA 1			streptomyces coeruleorubidus	Lista 2	No esta en lista					
Pusillimonas noertemannii	LISTA 1			streptomyces collinus	Lista 2	LISTA 1					
Pyramidobacter piscolens	LISTA 1			streptomyces diastatochromogenes	Lista 2	LISTA 1					
Radish leaf curl virus	LISTA 1			streptomyces fradiae	Lista 2	LISTA 1					
Reticuloendotheliosis virus	LISTA 1			streptomyces galilaeus	Lista 2	No esta en lista					
Rhodonellum psychrophilum	LISTA 1			streptomyces globisporus	Lista 2	LISTA 1					
Rhynchosia golden mosaic Havana virus	LISTA 1			streptomyces gramineus	Lista 2	No esta en lista					
Rhynchosia golden mosaic virus	LISTA 1			streptomyces griseofuscus	Lista 2	No esta en lista					
Rhynchosia rugose golden mosaic virus	LISTA 1			streptomyces griseoincarnatus	Lista 2	No esta en lista					
Ribgrass mosaic virus	LISTA 1			streptomyces griseus	Lista 2	LISTA 1					
Rice tungro bacilliform virus	LISTA 1			streptomyces hygroscopicus	Lista 2	LISTA 1					
Robiginitalea biformata	LISTA 1			streptomyces lavendulae	Lista 2	LISTA 1					
Robiginitomaculum antarcticum	LISTA 1			streptomyces libani	Lista 2	LISTA 1					
Roseivirga seohaensis	LISTA 1			streptomyces lividans	Lista 2	LISTA 1					
Rosellinia necatrix megabirnavirus 1	LISTA 1			streptomyces lomondensis	Lista 2	LISTA 1					
Rothia aeria	LISTA 1			streptomyces luteogriseus	Lista 2	No esta en lista					
Rothia dentocariosa	LISTA 1			streptomyces malaysiensis	Lista 2	No esta en lista					
Rothia kristinae	LISTA 1			streptomyces mobaraensis	Lista 2	LISTA 1					
Rothia mucilaginosa	LISTA 1			streptomyces monashensis	Lista 2	No esta en lista					
