
[Brevibacterium] flavum
Lyngbya kuetzingii
Lyngbya lagerheimii
Lyngbya majuscula
Lyngbya martensiana
Lyngbya nigra
Lyngbya polychroa
Lyngbya purpurea
Lyngbya semiplena
Lyngbya taylorii
Macaca mulatta type C retrovirus
Macacine betaherpesvirus 3
Macacine betaherpesvirus 8
Macacine gammaherpesvirus 10
Macaua orthobunyavirus
Macroptilium golden mosaic virus
Macroptilium mosaic Puerto Rico virus
Macroptilium yellow mosaic virus
Madrid orthobunyavirus
Mageeibacillus indolicus
Magnetococcus marinus
Magnetospirillum aberrantis
Magnetospirillum fulvum
Magnetospirillum gryphiswaldense
Magnetospirillum magneticum
Magnetospirillum magnetotacticum
Magnetospirillum molischianum
Maguari orthobunyavirus
Mahogany Hammock orthobunyavirus
Main Drain orthobunyavirus
Malvastrum leaf curl virus
Malvastrum yellow mosaic Jamaica virus
Malvastrum yellow vein Lahore virus
Malvastrum yellow vein virus
Malvastrum yellow vein Yunnan virus
Manzanilla orthobunyavirus
Mapputta orthobunyavirus
Maprik orthobunyavirus
Marburg marburgvirus
Marinitoga hydrogenitolerans
Marinitoga piezophila
Marituba orthobunyavirus
Marivirga tractuosa
Mastigocladopsis repens
Mastigocoleus testarum
Matruh orthobunyavirus
Megamonas funiformis
Megamonas hypermegale
Megamonas rupellensis
Megasphaera cerevisiae
Megasphaera elsdenii
Megasphaera genomosp. type_1
Megasphaera genomosp. type_2
Megasphaera micronuciformis
Megasphaera paucivorans
Megrivirus A
Megrivirus B
Megrivirus D
Megrivirus E
Melao orthobunyavirus
Melegrivirus A
Melon chlorotic leaf curl virus
Mermet orthobunyavirus
Mesoaciditoga lauensis
Mesotoga prima
Mesta yellow vein mosaic Bahraich virus
Mesta yellow vein mosaic virus
Methanolinea tarda
Methanoregula boonei
Methanoregula formicica
Methylobacterium komagatae
Methylobacterium mesophilicum
Methylobacterium nodulans
Methylobacterium oryzae
Methylobacterium phyllosphaerae
Methylobacterium platani
Methylobacterium radiotolerans
Methylophaga aminisulfidivorans
Methylophaga lonarensis
Methylophaga marina
Methylophaga thiooxydans
Methylorubrum extorquens
Methylorubrum populi
Methylorubrum rhodinum
Methylorubrum thiocyanatum
Microbispora rosea
Microscilla marina
Microvirga flocculans
Microvirga zambiensis
Microvirgula aerodenitrificans
Minatitlan orthobunyavirus
Mogibacterium timidum
Mogibacterium vescum
Moju orthobunyavirus
Moloney murine sarcoma virus
Morganella morganii
Morganella psychrotolerans
MPoko orthobunyavirus
Mucilaginibacter paludis
Mungbean yellow mosaic India virus
Mungbean yellow mosaic virus
Murid betaherpesvirus 1
Murid betaherpesvirus 2
Murid betaherpesvirus 8
Murine leukemia virus
Murine leukemia-related retroviruses
Mycobacterium arosiense
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bohemicum
Mycobacterium canettii
Mycobacterium colombiense
Mycobacterium gastri
Mycobacterium genavense
Mycobacterium haemophilum
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium liflandii
Mycobacterium marinum
Mycobacterium orygis
Mycobacterium parascrofulaceum
Mycobacterium pseudoshottsii
Mycobacterium simiae
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacterium virus Apizium
Mycobacterium virus Bignuz
Mycobacterium virus Manad
Mycobacterium virus Oline
Mycobacterium virus Osmaximus
Mycobacterium virus Pg1
Mycobacterium virus Soto
Mycobacterium virus Suffolk
Mycobacterium virus Thibault
Mycobacterium xenopi
Neisseria bacilliformis
Neisseria cinerea
Neisseria elongata
Neisseria flavescens
